,suburb_id,ttl_properties_sold,ttl_house_sold,ttl_house_tier1,ttl_house_tier2,ttl_house_tier3,ttl_apt_sold,ttl_apt_tier1,ttl_apt_tier2,ttl_apt_tier3,house_affordability_tier1,house_affordability_tier2,house_affordability_tier3,apt_affordability_tier1,apt_affordability_tier2,apt_affordability_tier3
0,eltham-north-vic-3095,65,65,35,6,0,0,0,0,0,0.5384615384615384,0.09230769230769231,0.0,,,
1,northgate-qld-4013,66,47,7,4,0,19,1,0,0,0.14893617021276595,0.0851063829787234,0.0,0.05263157894736842,0.0,0.0
2,cherrybrook-nsw-2126,132,132,20,72,37,0,0,0,0,0.15151515151515152,0.5454545454545454,0.2803030303030303,,,
3,roxburgh-park-vic-3064,221,219,0,0,0,2,1,0,0,0.0,0.0,0.0,0.5,0.0,0.0
4,taringa-qld-4068,144,46,16,7,7,98,15,7,3,0.34782608695652173,0.15217391304347827,0.15217391304347827,0.15306122448979592,0.07142857142857142,0.030612244897959183
5,hawthorn-east-vic-3123,138,54,9,15,30,84,53,7,3,0.16666666666666666,0.2777777777777778,0.5555555555555556,0.6309523809523809,0.08333333333333333,0.03571428571428571
6,frenchs-forest-nsw-2086,152,151,27,73,51,1,0,0,1,0.17880794701986755,0.48344370860927155,0.33774834437086093,0.0,0.0,1.0
7,gaythorne-qld-4051,41,18,0,0,0,23,2,0,0,0.0,0.0,0.0,0.08695652173913043,0.0,0.0
8,cairnlea-vic-3023,56,52,6,0,0,4,0,0,0,0.11538461538461539,0.0,0.0,0.0,0.0,0.0
9,chippendale-nsw-2008,85,15,6,7,2,70,36,21,9,0.4,0.4666666666666667,0.13333333333333333,0.5142857142857142,0.3,0.12857142857142856
10,woodridge-wa-6041,14,14,0,0,0,0,0,0,0,0.0,0.0,0.0,,,
11,north-curl-curl-nsw-2099,36,33,0,1,32,3,1,1,1,0.0,0.030303030303030304,0.9696969696969697,0.3333333333333333,0.3333333333333333,0.3333333333333333
12,nudgee-beach-qld-4014,3,3,0,0,0,0,0,0,0,0.0,0.0,0.0,,,
13,caroline-springs-vic-3023,259,239,13,0,1,20,4,0,0,0.05439330543933055,0.0,0.0041841004184100415,0.2,0.0,0.0
14,newport-nsw-2106,143,88,5,24,59,55,14,19,21,0.056818181818181816,0.2727272727272727,0.6704545454545454,0.2545454545454545,0.34545454545454546,0.38181818181818183
15,woodville-sa-5011,26,19,3,0,0,7,0,0,0,0.15789473684210525,0.0,0.0,0.0,0.0,0.0
16,duncraig-wa-6023,112,110,15,3,1,2,0,0,0,0.13636363636363635,0.02727272727272727,0.00909090909090909,0.0,0.0,0.0
17,lidcombe-nsw-2141,138,94,51,21,6,44,40,4,0,0.5425531914893617,0.22340425531914893,0.06382978723404255,0.9090909090909091,0.09090909090909091,0.0
18,seventeen-mile-rocks-qld-4073,25,25,4,0,0,0,0,0,0,0.16,0.0,0.0,,,
19,diamond-creek-vic-3089,121,114,33,5,0,7,7,0,0,0.2894736842105263,0.043859649122807015,0.0,1.0,0.0,0.0
20,edwardstown-sa-5039,60,47,0,0,0,13,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
21,pascoe-vale-vic-3044,163,102,46,4,0,61,40,4,1,0.45098039215686275,0.0392156862745098,0.0,0.6557377049180327,0.06557377049180328,0.01639344262295082
22,mont-albert-vic-3127,33,15,0,5,9,18,14,3,0,0.0,0.3333333333333333,0.6,0.7777777777777778,0.16666666666666666,0.0
23,chermside-west-qld-4032,97,94,0,0,0,3,1,0,0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
24,woollahra-nsw-2025,140,69,1,6,62,71,2,34,35,0.014492753623188406,0.08695652173913043,0.8985507246376812,0.028169014084507043,0.4788732394366197,0.49295774647887325
25,largs-north-sa-5016,56,50,0,0,0,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
