,suburb_id,postcode,state,distance_km,population,median_income,ttl_properties_sold,ttl_house_sold,ttl_house_tier1,ttl_house_tier2,ttl_house_tier3,ttl_apt_sold,ttl_apt_tier1,ttl_apt_tier2,ttl_apt_tier3,house_affordability_tier1,house_affordability_tier2,house_affordability_tier3,apt_affordability_tier1,apt_affordability_tier2,apt_affordability_tier3,properties_ttl,house_ttl,house_3beds_ttl,house_4beds_ttl,house_5beds_ttl,apt_ttl,apt_1bed_ttl,apt_2beds_ttl,apt_3beds_ttl,house_ttl_perc,house_3beds_perc,house_4beds_perc,house_5beds_perc,apt_ttl_perc,apt_1bed_perc,apt_2beds_perc,apt_3beds_perc,price_house_2016,price_house_2017,price_house_2018,price_house_2019,price_house_2020,price_house_2021,price_apt_2016,price_apt_2017,price_apt_2018,price_apt_2019,price_apt_2020,price_apt_2021,house_5yr_growth,house_2017_growth,house_2018_growth,house_2019_growth,house_2020_growth,house_2021_growth,apt_5yr_growth,apt_2017_growth,apt_2018_growth,apt_2019_growth,apt_2020_growth,apt_2021_growth,price_house_jan21,price_house_feb21,price_house_mar21,price_house_apr21,price_house_may21,price_house_jun21,price_house_jul21,price_apt_jan21,price_apt_feb21,price_apt_mar21,price_apt_apr21,price_apt_may21,price_apt_jun21,price_apt_jul21,house_6mths_growth,house_feb_growth,house_mar_growth,house_apr_growth,house_may_growth,house_jun_growth,house_jul_growth,apt_6mths_growth,apt_feb_growth,apt_mar_growth,apt_apr_growth,apt_may_growth,apt_jun_growth,apt_jul_growth
0,northgate-qld-4013,4013,QLD,10.148,4568,44408,66.0,47.0,7.0,4.0,0.0,19.0,1.0,0.0,0.0,0.149,0.085,0.0,0.053,0.0,0.0,579.0,477.0,231.0,126.0,41.0,102.0,5.0,84.0,13.0,0.824,0.484,0.264,0.086,0.176,0.049,0.824,0.127,703000.0,675000.0,670000.0,677500.0,665000.0,860000.0,345000.0,285000.0,258500.0,289000.0,338000.0,307500.0,0.223,-0.04,-0.007,0.011,-0.018,0.293,-0.109,-0.174,-0.093,0.118,0.17,-0.09,885000.0,595000.0,900000.0,762000.0,700000.0,815000.0,831000.0,0.0,315000.0,265000.0,0.0,0.0,0.0,0.0,-0.061,-0.328,0.513,-0.153,-0.081,0.164,0.02,,,-0.159,-1.0,,,
1,eltham-north-vic-3095,3095,VIC,20.794,6805,41756,65.0,65.0,35.0,6.0,0.0,0.0,0.0,0.0,0.0,0.538,0.092,0.0,,,,567.0,561.0,177.0,299.0,69.0,6.0,0.0,4.0,2.0,0.989,0.316,0.533,0.123,0.011,0.0,0.667,0.333,850000.0,881017.0,922000.0,980000.0,1000000.0,1101500.0,0.0,0.0,559000.0,0.0,0.0,0.0,0.296,0.036,0.047,0.063,0.02,0.102,,,,-1.0,,,1026000.0,1000000.0,970000.0,1000000.0,1206000.0,951000.0,1125000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.096,-0.025,-0.03,0.031,0.206,-0.211,0.183,,,,,,,
2,cherrybrook-nsw-2126,2126,NSW,22.225,18765,39936,132.0,132.0,20.0,72.0,37.0,0.0,0.0,0.0,0.0,0.152,0.545,0.28,,,,1692.0,1688.0,294.0,987.0,348.0,4.0,0.0,2.0,2.0,0.998,0.174,0.585,0.206,0.002,0.0,0.5,0.5,1400000.0,1550000.0,1500000.0,1450000.0,1570000.0,1952000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.394,0.107,-0.032,-0.033,0.083,0.243,,,,,,,1480000.0,1830000.0,2000000.0,2060000.0,1965000.0,1850000.0,1515000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.236,0.093,0.03,-0.046,-0.059,-0.181,,,,,,,
3,roxburgh-park-vic-3064,3064,VIC,22.789,21817,21008,221.0,219.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2021.0,2002.0,943.0,868.0,147.0,19.0,0.0,16.0,3.0,0.991,0.471,0.434,0.073,0.009,0.0,0.842,0.158,430000.0,515000.0,549000.0,545000.0,579000.0,615000.0,280000.0,315000.0,350000.0,348000.0,330000.0,0.0,0.43,0.198,0.066,-0.007,0.062,0.062,-1.0,0.125,0.111,-0.006,-0.052,-1.0,615000.0,613500.0,575000.0,612000.0,600000.0,652500.0,585000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.049,-0.002,-0.063,0.064,-0.02,0.088,-0.103,,,,,,,
4,taringa-qld-4068,4068,QLD,5.123,8376,39572,144.0,46.0,16.0,7.0,7.0,98.0,15.0,7.0,3.0,0.348,0.152,0.152,0.153,0.071,0.031,1106.0,395.0,159.0,127.0,65.0,711.0,43.0,538.0,127.0,0.357,0.403,0.322,0.165,0.643,0.06,0.757,0.179,950000.0,1060000.0,862000.0,895000.0,935000.0,1600000.0,405000.0,380000.0,365000.0,385000.0,396000.0,420000.0,0.684,0.116,-0.187,0.038,0.045,0.711,0.037,-0.062,-0.039,0.055,0.029,0.061,0.0,900000.0,1600000.0,1192500.0,1250000.0,0.0,950000.0,370000.0,395000.0,418000.0,328000.0,423000.0,395000.0,0.0,,,0.778,-0.255,0.048,-1.0,,-1.0,0.068,0.058,-0.215,0.29,-0.066,-1.0
5,hawthorn-east-vic-3123,3123,VIC,6.903,14321,51012,138.0,54.0,9.0,15.0,30.0,84.0,53.0,7.0,3.0,0.167,0.278,0.556,0.631,0.083,0.036,1405.0,774.0,307.0,237.0,91.0,631.0,145.0,441.0,42.0,0.551,0.397,0.306,0.118,0.449,0.23,0.699,0.067,1801000.0,2210000.0,2100000.0,1970000.0,2275000.0,2000000.0,560000.0,580000.0,555000.0,567000.0,605000.0,557500.0,0.11,0.227,-0.05,-0.062,0.155,-0.121,-0.004,0.036,-0.043,0.022,0.067,-0.079,2160000.0,1780000.0,2400000.0,1800000.0,0.0,0.0,0.0,550000.0,629999.0,542000.0,529600.0,580000.0,467550.0,480000.0,-1.0,-0.176,0.348,-0.25,-1.0,,,-0.127,0.145,-0.14,-0.023,0.095,-0.194,0.027
6,frenchs-forest-nsw-2086,2086,NSW,13.018,13473,44876,152.0,151.0,27.0,73.0,51.0,1.0,0.0,0.0,1.0,0.179,0.483,0.338,0.0,0.0,1.0,1552.0,1543.0,556.0,636.0,281.0,9.0,0.0,5.0,4.0,0.994,0.36,0.412,0.182,0.006,0.0,0.556,0.444,1530000.0,1650000.0,1450000.0,1505000.0,1641000.0,2075000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.356,0.078,-0.121,0.038,0.09,0.264,,,,,,,1457000.0,1928000.0,2051000.0,1850000.0,2250000.0,2100000.0,2280000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.565,0.323,0.064,-0.098,0.216,-0.067,0.086,,,,,,,
7,gaythorne-qld-4051,4051,QLD,7.276,3023,44564,41.0,18.0,0.0,0.0,0.0,23.0,2.0,0.0,0.0,0.0,0.0,0.0,0.087,0.0,0.0,402.0,219.0,99.0,63.0,27.0,183.0,11.0,119.0,51.0,0.545,0.452,0.288,0.123,0.455,0.06,0.65,0.279,685000.0,700000.0,670000.0,670000.0,760000.0,800000.0,350000.0,356500.0,377000.0,335000.0,345000.0,357000.0,0.168,0.022,-0.043,0.0,0.134,0.053,0.02,0.019,0.058,-0.111,0.03,0.035,0.0,0.0,590000.0,0.0,0.0,775000.0,0.0,0.0,295000.0,360000.0,0.0,388500.0,280000.0,0.0,,,,-1.0,,,-1.0,,,0.22,-1.0,,-0.279,-1.0
8,cairnlea-vic-3023,3023,VIC,17.637,9657,28548,56.0,52.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.115,0.0,0.0,0.0,0.0,0.0,651.0,645.0,197.0,336.0,102.0,6.0,2.0,4.0,0.0,0.991,0.305,0.521,0.158,0.009,0.333,0.667,0.0,635000.0,700000.0,792000.0,752500.0,830000.0,798000.0,0.0,0.0,0.0,335000.0,0.0,340000.0,0.257,0.102,0.131,-0.05,0.103,-0.039,,,,,-1.0,,780000.0,700000.0,720000.0,775000.0,752600.0,735000.0,940000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.205,-0.103,0.029,0.076,-0.029,-0.023,0.279,,,,,,,
9,chippendale-nsw-2008,2008,NSW,2.236,8617,28080,85.0,15.0,6.0,7.0,2.0,70.0,36.0,21.0,9.0,0.4,0.467,0.133,0.514,0.3,0.129,802.0,137.0,53.0,21.0,5.0,665.0,331.0,263.0,54.0,0.171,0.387,0.153,0.036,0.829,0.498,0.395,0.081,1500000.0,1720000.0,1317000.0,1290000.0,1390000.0,1610000.0,810000.0,780000.0,790000.0,681500.0,745000.0,725000.0,0.073,0.147,-0.234,-0.021,0.078,0.158,-0.105,-0.037,0.013,-0.137,0.093,-0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500000.0,752000.0,610000.0,780000.0,655000.0,550000.0,835000.0,,,,,,,,0.67,0.504,-0.189,0.279,-0.16,-0.16,0.518
