home_suburb,near_by_suburb,postcode,distance
"sydney-nsw-2000","sydney-nsw-2000","2000",0.0
"sydney-nsw-2000","the-rocks-nsw-2000","2000",1.030573360110406
"sydney-nsw-2000","millers-point-nsw-2000","2000",1.0618801561608473
"sydney-nsw-2000","barangaroo-nsw-2000","2000",1.1293135373597798
"sydney-nsw-2000","dawes-point-nsw-2000","2000",1.335392250489566
"sydney-nsw-2000","haymarket-nsw-2000","2000",1.5865539273486076
"sydney-nsw-2000","ultimo-nsw-2007","2007",1.661252781529508
"sydney-nsw-2000","chippendale-nsw-2008","2008",2.236137343072786
"sydney-nsw-2000","darlington-nsw-2008","2008",2.978595292941762
"sydney-nsw-2000","pyrmont-nsw-2009","2009",1.6211623876914765
"sydney-nsw-2000","darlinghurst-nsw-2010","2010",1.6180198308244984
"sydney-nsw-2000","surry-hills-nsw-2010","2010",1.8380567628470241
"sydney-nsw-2000","woolloomooloo-nsw-2011","2011",0.831082512388105
"sydney-nsw-2000","potts-point-nsw-2011","2011",1.514738813596388
"sydney-nsw-2000","elizabeth-bay-nsw-2011","2011",1.745638058310249
"sydney-nsw-2000","rushcutters-bay-nsw-2011","2011",1.77928541580296
"sydney-nsw-2000","eveleigh-nsw-2015","2015",3.502340641727128
"sydney-nsw-2000","alexandria-nsw-2015","2015",4.7773529298448185
"sydney-nsw-2000","beaconsfield-nsw-2015","2015",4.928664554925201
"sydney-nsw-2000","redfern-nsw-2016","2016",2.8190523543846284
"sydney-nsw-2000","waterloo-nsw-2017","2017",3.6121253158421416
"sydney-nsw-2000","zetland-nsw-2017","2017",4.422723985979694
"sydney-nsw-2000","rosebery-nsw-2018","2018",5.64968405927891
"sydney-nsw-2000","eastlakes-nsw-2018","2018",7.022168113511575
"sydney-nsw-2000","botany-nsw-2019","2019",9.079958733389118
"sydney-nsw-2000","banksmeadow-nsw-2019","2019",9.805472757339896
"sydney-nsw-2000","mascot-nsw-2020","2020",9.07637101137974
"sydney-nsw-2000","paddington-nsw-2021","2021",2.3752556029424725
"sydney-nsw-2000","moore-park-nsw-2021","2021",3.2654269864744605
"sydney-nsw-2000","centennial-park-nsw-2021","2021",3.921059566847099
"sydney-nsw-2000","bondi-junction-nsw-2022","2022",4.646961203584161
"sydney-nsw-2000","queens-park-nsw-2022","2022",4.90543780163242
"sydney-nsw-2000","bellevue-hill-nsw-2023","2023",4.47640402227785
"sydney-nsw-2000","waverley-nsw-2024","2024",5.696239169789742
"sydney-nsw-2000","bronte-nsw-2024","2024",6.386730423011844
"sydney-nsw-2000","woollahra-nsw-2025","2025",3.7297477522600073
"sydney-nsw-2000","bondi-nsw-2026","2026",5.965586652362535
"sydney-nsw-2000","bondi-beach-nsw-2026","2026",6.310740612346062
"sydney-nsw-2000","north-bondi-nsw-2026","2026",6.5071990295503035
"sydney-nsw-2000","tamarama-nsw-2026","2026",6.6185254711353245
"sydney-nsw-2000","darling-point-nsw-2027","2027",2.416128598556638
"sydney-nsw-2000","edgecliff-nsw-2027","2027",2.7468922317329407
"sydney-nsw-2000","point-piper-nsw-2027","2027",4.01444471005138
